,Survived,Pclass,Sex,Age,Fare,Embarked,Deck,Title,Family_size
0,0,3,1,22.0,7.25,2,2,1,2
1,1,1,0,38.0,71.2833,0,2,0,2
2,1,3,0,26.0,7.925,2,2,0,0
3,1,1,0,35.0,53.1,2,2,0,2
4,0,3,1,35.0,8.05,2,2,1,0
5,0,3,1,30.0,8.4583,1,2,1,0
6,0,1,1,54.0,51.8625,2,4,1,0
7,0,3,1,2.0,21.075,2,2,0,1
8,1,3,0,27.0,11.1333,2,2,0,2
9,1,2,0,14.0,30.0708,0,2,0,2
10,1,3,0,4.0,16.7,2,6,0,2
11,1,1,0,58.0,26.55,2,2,0,0
12,0,3,1,20.0,8.05,2,2,1,0
13,0,3,1,39.0,31.275,2,2,1,1
14,0,3,0,14.0,7.8542,2,2,0,0
15,1,2,0,55.0,16.0,2,2,0,0
16,0,3,1,2.0,29.125,1,2,0,1
17,1,2,1,30.0,13.0,2,2,1,0
18,0,3,0,31.0,18.0,2,2,0,2
19,1,3,0,30.0,7.225,0,2,0,0
20,0,2,1,35.0,26.0,2,2,1,0
21,1,2,1,34.0,13.0,2,3,1,0
22,1,3,0,15.0,8.0292,1,2,0,0
23,1,1,1,28.0,35.5,2,0,1,0
24,0,3,0,8.0,21.075,2,2,0,1
25,1,3,0,38.0,31.3875,2,2,0,1
26,0,3,1,30.0,7.225,0,2,1,0
27,0,1,1,19.0,263.0,2,2,1,1
28,1,3,0,30.0,7.8792,1,2,0,0
29,0,3,1,30.0,7.8958,2,2,1,0
30,0,1,1,40.0,27.7208,0,2,1,0
31,1,1,0,30.0,146.5208,0,1,0,2
32,1,3,0,30.0,7.75,1,2,0,0
33,0,2,1,66.0,10.5,2,2,1,0
34,0,1,1,28.0,82.1708,0,2,1,2
35,0,1,1,42.0,52.0,2,2,1,2
36,1,3,1,30.0,7.2292,0,2,1,0
37,0,3,1,21.0,8.05,2,2,1,0
38,0,3,0,18.0,18.0,2,2,0,2
39,1,3,0,14.0,11.2417,0,2,0,2
40,0,3,0,40.0,9.475,2,2,0,2
41,0,2,0,27.0,21.0,2,2,0,2
42,0,3,1,30.0,7.8958,0,2,1,0
43,1,2,0,3.0,41.5792,0,2,0,2
44,1,3,0,19.0,7.8792,1,2,0,0
45,0,3,1,30.0,8.05,2,2,1,0
46,0,3,1,30.0,15.5,1,2,1,2
47,1,3,0,30.0,7.75,1,2,0,0
48,0,3,1,30.0,21.6792,0,2,1,2
49,0,3,0,18.0,17.8,2,2,0,2
50,0,3,1,7.0,39.6875,2,2,0,1
51,0,3,1,21.0,7.8,2,2,1,0
52,1,1,0,49.0,76.7292,0,3,0,2
53,1,2,0,29.0,26.0,2,2,0,2
54,0,1,1,65.0,61.9792,0,1,1,2
55,1,1,1,30.0,35.5,2,2,1,0
56,1,2,0,21.0,10.5,2,2,0,0
57,0,3,1,28.0,7.2292,0,2,1,0
58,1,2,0,5.0,27.75,2,2,0,2
59,0,3,1,11.0,46.9,2,2,0,1
60,0,3,1,22.0,7.2292,0,2,1,0
61,1,1,0,38.0,80.0,3,1,0,0
62,0,1,1,45.0,83.475,2,2,1,2
63,0,3,1,4.0,27.9,2,2,0,1
64,0,1,1,30.0,27.7208,0,2,1,0
65,1,3,1,30.0,15.2458,0,2,0,2
66,1,2,0,29.0,10.5,2,5,0,0
67,0,3,1,19.0,8.1583,2,2,1,0
68,1,3,0,17.0,7.925,2,2,0,1
69,0,3,1,26.0,8.6625,2,2,1,2
70,0,2,1,32.0,10.5,2,2,1,0
71,0,3,0,16.0,46.9,2,2,0,1
72,0,2,1,21.0,73.5,2,2,1,0
73,0,3,1,26.0,14.4542,0,2,1,2
74,1,3,1,32.0,56.4958,2,2,1,0
75,0,3,1,25.0,7.65,2,5,1,0
76,0,3,1,30.0,7.8958,2,2,1,0
77,0,3,1,30.0,8.05,2,2,1,0
78,1,2,1,1.0,29.0,2,2,0,2
79,1,3,0,30.0,12.475,2,2,0,0
80,0,3,1,22.0,9.0,2,2,1,0
81,1,3,1,29.0,9.5,2,2,1,0
82,1,3,0,30.0,7.7875,1,2,0,0
83,0,1,1,28.0,47.1,2,2,1,0
84,1,2,0,17.0,10.5,2,2,0,0
85,1,3,0,33.0,15.85,2,2,0,2
86,0,3,1,16.0,34.375,2,2,1,1
87,0,3,1,30.0,8.05,2,2,1,0
88,1,1,0,23.0,263.0,2,2,0,1
89,0,3,1,24.0,8.05,2,2,1,0
90,0,3,1,29.0,8.05,2,2,1,0
91,0,3,1,20.0,7.8542,2,2,1,0
92,0,1,1,46.0,61.175,2,4,1,2
93,0,3,1,26.0,20.575,2,2,1,2
94,0,3,1,59.0,7.25,2,2,1,0
95,0,3,1,30.0,8.05,2,2,1,0
96,0,1,1,71.0,34.6542,0,0,1,0
97,1,1,1,23.0,63.3583,0,3,1,2
98,1,2,0,34.0,23.0,2,2,0,2
99,0,2,1,34.0,26.0,2,2,1,2
100,0,3,0,28.0,7.8958,2,2,0,0
101,0,3,1,30.0,7.8958,2,2,1,0
102,0,1,1,21.0,77.2875,2,3,1,2
103,0,3,1,33.0,8.6542,2,2,1,0
104,0,3,1,37.0,7.925,2,2,1,2
105,0,3,1,28.0,7.8958,2,2,1,0
106,1,3,0,21.0,7.65,2,2,0,0
107,1,3,1,30.0,7.775,2,2,1,0
108,0,3,1,38.0,7.8958,2,2,1,0
109,1,3,0,30.0,24.15,1,2,0,2
110,0,1,1,47.0,52.0,2,2,1,0
111,0,3,0,14.0,14.4542,0,2,0,2
112,0,3,1,22.0,8.05,2,2,1,0
113,0,3,0,20.0,9.825,2,2,0,2
114,0,3,0,17.0,14.4583,0,2,0,0
115,0,3,1,21.0,7.925,2,2,1,0
116,0,3,1,70.0,7.75,1,2,1,0
117,0,2,1,29.0,21.0,2,2,1,2
118,0,1,1,24.0,247.5208,0,1,1,2
119,0,3,0,2.0,31.275,2,2,0,1
120,0,2,1,21.0,73.5,2,2,1,2
121,0,3,1,30.0,8.05,2,2,1,0
122,0,2,1,32.0,30.0708,0,2,1,2
123,1,2,0,32.0,13.0,2,4,0,0
124,0,1,1,54.0,77.2875,2,3,1,2
125,1,3,1,12.0,11.2417,0,2,0,2
126,0,3,1,30.0,7.75,1,2,1,0
127,1,3,1,24.0,7.1417,2,2,1,0
128,1,3,0,30.0,22.3583,0,5,0,2
129,0,3,1,45.0,6.975,2,2,1,0
130,0,3,1,33.0,7.8958,0,2,1,0
131,0,3,1,20.0,7.05,2,2,1,0
132,0,3,0,47.0,14.5,2,2,0,2
133,1,2,0,29.0,26.0,2,2,0,2
134,0,2,1,25.0,13.0,2,2,1,0
135,0,2,1,23.0,15.0458,0,2,1,0
136,1,1,0,19.0,26.2833,2,3,0,2
137,0,1,1,37.0,53.1,2,2,1,2
138,0,3,1,16.0,9.2167,2,2,1,0
139,0,1,1,24.0,79.2,0,1,1,0
140,0,3,0,30.0,15.2458,0,2,0,2
141,1,3,0,22.0,7.75,2,2,0,0
142,1,3,0,24.0,15.85,2,2,0,2
143,0,3,1,19.0,6.75,1,2,1,0
144,0,2,1,18.0,11.5,2,2,1,0
145,0,2,1,19.0,36.75,2,2,1,2
146,1,3,1,27.0,7.7958,2,2,1,0
147,0,3,0,9.0,34.375,2,2,0,1
148,0,2,1,36.0,26.0,2,5,1,2
149,0,2,1,42.0,13.0,2,2,1,0
150,0,2,1,51.0,12.525,2,2,1,0
151,1,1,0,22.0,66.6,2,2,0,2
152,0,3,1,56.0,8.05,2,2,1,0
153,0,3,1,40.0,14.5,2,2,1,2
154,0,3,1,30.0,7.3125,2,2,1,0
155,0,1,1,51.0,61.3792,0,2,1,2
156,1,3,0,16.0,7.7333,1,2,0,0
157,0,3,1,30.0,8.05,2,2,1,0
158,0,3,1,30.0,8.6625,2,2,1,0
159,0,3,1,30.0,69.55,2,2,0,1
160,0,3,1,44.0,16.1,2,2,1,2
161,1,2,0,40.0,15.75,2,2,0,0
162,0,3,1,26.0,7.775,2,2,1,0
163,0,3,1,17.0,8.6625,2,2,1,0
164,0,3,1,1.0,39.6875,2,2,0,1
165,1,3,1,9.0,20.525,2,2,0,2
166,1,1,0,30.0,55.0,2,4,0,2
167,0,3,0,45.0,27.9,2,2,0,1
168,0,1,1,30.0,25.925,2,2,1,0
169,0,3,1,28.0,56.4958,2,2,1,0
170,0,1,1,61.0,33.5,2,1,1,0
171,0,3,1,4.0,29.125,1,2,0,1
172,1,3,0,1.0,11.1333,2,2,0,2
173,0,3,1,21.0,7.925,2,2,1,0
174,0,1,1,56.0,30.6958,0,0,1,0
175,0,3,1,18.0,7.8542,2,2,1,2
176,0,3,1,30.0,25.4667,2,2,0,1
177,0,1,0,50.0,28.7125,0,2,0,0
178,0,2,1,30.0,13.0,2,2,1,0
179,0,3,1,36.0,0.0,2,2,1,0
180,0,3,0,30.0,69.55,2,2,0,1
181,0,2,1,30.0,15.05,0,2,1,0
182,0,3,1,9.0,31.3875,2,2,0,1
183,1,2,1,1.0,39.0,2,5,0,2
184,1,3,0,4.0,22.025,2,2,0,2
185,0,1,1,30.0,50.0,2,0,1,0
186,1,3,0,30.0,15.5,1,2,0,2
187,1,1,1,45.0,26.55,2,2,1,0
188,0,3,1,40.0,15.5,1,2,1,2
189,0,3,1,36.0,7.8958,2,2,1,0
190,1,2,0,32.0,13.0,2,2,0,0
191,0,2,1,19.0,13.0,2,2,1,0
192,1,3,0,19.0,7.8542,2,2,0,2
193,1,2,1,3.0,26.0,2,5,0,2
194,1,1,0,44.0,27.7208,0,1,0,0
195,1,1,0,58.0,146.5208,0,1,0,0
196,0,3,1,30.0,7.75,1,2,1,0
197,0,3,1,42.0,8.4042,2,2,1,2
198,1,3,0,30.0,7.75,1,2,0,0
199,0,2,0,24.0,13.0,2,2,0,0
200,0,3,1,28.0,9.5,2,2,1,0
201,0,3,1,30.0,69.55,2,2,1,1
202,0,3,1,34.0,6.4958,2,2,1,0
203,0,3,1,46.0,7.225,0,2,1,0
204,1,3,1,18.0,8.05,2,2,1,0
205,0,3,0,2.0,10.4625,2,6,0,2
206,0,3,1,32.0,15.85,2,2,1,2
207,1,3,1,26.0,18.7875,0,2,1,0
208,1,3,0,16.0,7.75,1,2,0,0
209,1,1,1,40.0,31.0,0,0,1,0
210,0,3,1,24.0,7.05,2,2,1,0
211,1,2,0,35.0,21.0,2,2,0,0
212,0,3,1,22.0,7.25,2,2,1,0
213,0,2,1,30.0,13.0,2,2,1,0
214,0,3,1,30.0,7.75,1,2,1,2
215,1,1,0,31.0,113.275,0,3,0,2
216,1,3,0,27.0,7.925,2,2,0,0
217,0,2,1,42.0,27.0,2,2,1,2
218,1,1,0,32.0,76.2917,0,3,0,0
219,0,2,1,30.0,10.5,2,2,1,0
220,1,3,1,16.0,8.05,2,2,1,0
221,0,2,1,27.0,13.0,2,2,1,0
222,0,3,1,51.0,8.05,2,2,1,0
223,0,3,1,30.0,7.8958,2,2,1,0
224,1,1,1,38.0,90.0,2,2,1,2
225,0,3,1,22.0,9.35,2,2,1,0
226,1,2,1,19.0,10.5,2,2,1,0
227,0,3,1,20.0,7.25,2,2,1,0
228,0,2,1,18.0,13.0,2,2,1,0
229,0,3,0,30.0,25.4667,2,2,0,1
230,1,1,0,35.0,83.475,2,2,0,2
231,0,3,1,29.0,7.775,2,2,1,0
232,0,2,1,59.0,13.5,2,2,1,0
233,1,3,0,5.0,31.3875,2,2,0,1
234,0,2,1,24.0,10.5,2,2,1,0
235,0,3,0,30.0,7.55,2,2,0,0
236,0,2,1,44.0,26.0,2,2,1,2
237,1,2,0,8.0,26.25,2,2,0,2
238,0,2,1,19.0,10.5,2,2,1,0
239,0,2,1,33.0,12.275,2,2,1,0
240,0,3,0,30.0,14.4542,0,2,0,2
241,1,3,0,30.0,15.5,1,2,0,2
242,0,2,1,29.0,10.5,2,2,1,0
243,0,3,1,22.0,7.125,2,2,1,0
244,0,3,1,30.0,7.225,0,2,1,0
245,0,1,1,44.0,90.0,1,2,2,2
246,0,3,0,25.0,7.775,2,2,0,0
247,1,2,0,24.0,14.5,2,2,0,2
248,1,1,1,37.0,52.5542,2,3,1,2
249,0,2,1,54.0,26.0,2,2,1,2
250,0,3,1,30.0,7.25,2,2,1,0
251,0,3,0,29.0,10.4625,2,6,0,2
252,0,1,1,62.0,26.55,2,2,1,0
253,0,3,1,30.0,16.1,2,2,1,2
254,0,3,0,41.0,20.2125,2,2,0,2
255,1,3,0,29.0,15.2458,0,2,0,2
256,1,1,0,30.0,79.2,0,2,0,0
257,1,1,0,30.0,86.5,2,1,0,0
258,1,1,0,35.0,512.3292,0,2,0,0
259,1,2,0,50.0,26.0,2,2,0,2
260,0,3,1,30.0,7.75,1,2,1,0
261,1,3,1,3.0,31.3875,2,2,0,1
262,0,1,1,52.0,79.65,2,4,1,2
263,0,1,1,40.0,0.0,2,1,1,0
264,0,3,0,30.0,7.75,1,2,0,0
265,0,2,1,36.0,10.5,2,2,1,0
266,0,3,1,16.0,39.6875,2,2,1,1
267,1,3,1,25.0,7.775,2,2,1,2
268,1,1,0,58.0,153.4625,2,2,0,2
269,1,1,0,35.0,135.6333,2,2,0,0
270,0,1,1,30.0,31.0,2,2,1,0
271,1,3,1,25.0,0.0,2,2,1,0
272,1,2,0,41.0,19.5,2,2,0,2
273,0,1,1,37.0,29.7,0,2,1,2
274,1,3,0,30.0,7.75,1,2,0,0
275,1,1,0,63.0,77.9583,2,3,0,2
276,0,3,0,45.0,7.75,2,2,0,0
277,0,2,1,30.0,0.0,2,2,1,0
278,0,3,1,7.0,29.125,1,2,0,1
279,1,3,0,35.0,20.25,2,2,0,2
280,0,3,1,65.0,7.75,1,2,1,0
281,0,3,1,28.0,7.8542,2,2,1,0
282,0,3,1,16.0,9.5,2,2,1,0
283,1,3,1,19.0,8.05,2,2,1,0
284,0,1,1,30.0,26.0,2,0,1,0
285,0,3,1,33.0,8.6625,0,2,1,0
286,1,3,1,30.0,9.5,2,2,1,0
287,0,3,1,22.0,7.8958,2,2,1,0
288,1,2,1,42.0,13.0,2,2,1,0
289,1,3,0,22.0,7.75,1,2,0,0
290,1,1,0,26.0,78.85,2,2,0,0
291,1,1,0,19.0,91.0792,0,1,0,2
292,0,2,1,36.0,12.875,0,3,1,0
293,0,3,0,24.0,8.85,2,2,0,0
294,0,3,1,24.0,7.8958,2,2,1,0
295,0,1,1,30.0,27.7208,0,2,1,0
296,0,3,1,24.0,7.2292,0,2,1,0
297,0,1,0,2.0,151.55,2,2,0,2
298,1,1,1,30.0,30.5,2,2,1,0
299,1,1,0,50.0,247.5208,0,1,0,2
300,1,3,0,30.0,7.75,1,2,0,0
301,1,3,1,30.0,23.25,1,2,1,2
302,0,3,1,19.0,0.0,2,2,1,0
303,1,2,0,30.0,12.35,1,4,0,0
304,0,3,1,30.0,8.05,2,2,1,0
305,1,1,1,1.0,151.55,2,2,0,2
306,1,1,0,30.0,110.8833,0,2,0,0
307,1,1,0,17.0,108.9,0,2,0,2
308,0,2,1,30.0,24.0,0,2,1,2
309,1,1,0,30.0,56.9292,0,4,0,0
310,1,1,0,24.0,83.1583,0,2,0,0
311,1,1,0,18.0,262.375,0,1,0,1
312,0,2,0,26.0,26.0,2,2,0,2
313,0,3,1,28.0,7.8958,2,2,1,0
314,0,2,1,43.0,26.25,2,2,1,2
315,1,3,0,26.0,7.8542,2,2,0,0
316,1,2,0,24.0,26.0,2,2,0,2
317,0,2,1,54.0,14.0,2,2,2,0
318,1,1,0,31.0,164.8667,2,2,0,2
319,1,1,0,40.0,134.5,0,4,0,2
320,0,3,1,22.0,7.25,2,2,1,0
321,0,3,1,27.0,7.8958,2,2,1,0
322,1,2,0,30.0,12.35,1,2,0,0
323,1,2,0,22.0,29.0,2,2,0,2
324,0,3,1,30.0,69.55,2,2,1,1
325,1,1,0,36.0,135.6333,0,2,0,0
326,0,3,1,61.0,6.2375,2,2,1,0
327,1,2,0,36.0,13.0,2,3,0,0
328,1,3,0,31.0,20.525,2,2,0,2
329,1,1,0,16.0,57.9792,0,1,0,2
330,1,3,0,30.0,23.25,1,2,0,2
331,0,1,1,46.0,28.5,2,2,1,0
332,0,1,1,38.0,153.4625,2,2,1,2
333,0,3,1,16.0,18.0,2,2,1,2
334,1,1,0,30.0,133.65,2,2,0,2
335,0,3,1,30.0,7.8958,2,2,1,0
336,0,1,1,29.0,66.6,2,2,1,2
337,1,1,0,41.0,134.5,0,4,0,0
338,1,3,1,45.0,8.05,2,2,1,0
339,0,1,1,45.0,35.5,2,2,1,0
340,1,2,1,2.0,26.0,2,5,0,2
341,1,1,0,24.0,263.0,2,2,0,1
342,0,2,1,28.0,13.0,2,2,1,0
343,0,2,1,25.0,13.0,2,2,1,0
344,0,2,1,36.0,13.0,2,2,1,0
345,1,2,0,24.0,13.0,2,5,0,0
346,1,2,0,40.0,13.0,2,2,0,0
347,1,3,0,30.0,16.1,2,2,0,2
348,1,3,1,3.0,15.9,2,2,0,2
349,0,3,1,42.0,8.6625,2,2,1,0
350,0,3,1,23.0,9.225,2,2,1,0
351,0,1,1,30.0,35.0,2,2,1,0
352,0,3,1,15.0,7.2292,0,2,1,2
353,0,3,1,25.0,17.8,2,2,1,2
354,0,3,1,30.0,7.225,0,2,1,0
355,0,3,1,28.0,9.5,2,2,1,0
356,1,1,0,22.0,55.0,2,4,0,2
357,0,2,0,38.0,13.0,2,2,0,0
358,1,3,0,30.0,7.8792,1,2,0,0
359,1,3,0,30.0,7.8792,1,2,0,0
360,0,3,1,40.0,27.9,2,2,1,1
361,0,2,1,29.0,27.7208,0,2,1,2
362,0,3,0,45.0,14.4542,0,2,0,2
363,0,3,1,35.0,7.05,2,2,1,0
364,0,3,1,30.0,15.5,1,2,1,2
365,0,3,1,30.0,7.25,2,2,1,0
366,1,1,0,60.0,75.25,0,3,0,2
367,1,3,0,30.0,7.2292,0,2,0,0
368,1,3,0,30.0,7.75,1,2,0,0
369,1,1,0,24.0,69.3,0,1,0,0
370,1,1,1,25.0,55.4417,0,4,1,2
371,0,3,1,18.0,6.4958,2,2,1,2
372,0,3,1,19.0,8.05,2,2,1,0
373,0,1,1,22.0,135.6333,0,2,1,0
374,0,3,0,3.0,21.075,2,2,0,1
375,1,1,0,30.0,82.1708,0,2,0,2
376,1,3,0,22.0,7.25,2,2,0,0
377,0,1,1,27.0,211.5,0,2,1,2
378,0,3,1,20.0,4.0125,0,2,1,0
379,0,3,1,19.0,7.775,2,2,1,0
380,1,1,0,42.0,227.525,0,2,0,0
381,1,3,0,1.0,15.7417,0,2,0,2
382,0,3,1,32.0,7.925,2,2,1,0
383,1,1,0,35.0,52.0,2,2,0,2
384,0,3,1,30.0,7.8958,2,2,1,0
385,0,2,1,18.0,73.5,2,2,1,0
386,0,3,1,1.0,46.9,2,2,0,1
387,1,2,0,36.0,13.0,2,2,0,0
388,0,3,1,30.0,7.7292,1,2,1,0
389,1,2,0,17.0,12.0,0,2,0,0
390,1,1,1,36.0,120.0,2,1,1,2
391,1,3,1,21.0,7.7958,2,2,1,0
392,0,3,1,28.0,7.925,2,2,1,2
393,1,1,0,23.0,113.275,0,3,0,2
394,1,3,0,24.0,16.7,2,6,0,2
395,0,3,1,22.0,7.7958,2,2,1,0
396,0,3,0,31.0,7.8542,2,2,0,0
397,0,2,1,46.0,26.0,2,2,1,0
398,0,2,1,23.0,10.5,2,2,2,0
399,1,2,0,28.0,12.65,2,2,0,0
400,1,3,1,39.0,7.925,2,2,1,0
401,0,3,1,26.0,8.05,2,2,1,0
402,0,3,0,21.0,9.825,2,2,0,2
403,0,3,1,28.0,15.85,2,2,1,2
404,0,3,0,20.0,8.6625,2,2,0,0
405,0,2,1,34.0,21.0,2,2,1,2
406,0,3,1,51.0,7.75,2,2,1,0
407,1,2,1,3.0,18.75,2,2,0,2
408,0,3,1,21.0,7.775,2,2,1,0
409,0,3,0,30.0,25.4667,2,2,0,1
410,0,3,1,30.0,7.8958,2,2,1,0
411,0,3,1,30.0,6.8583,1,2,1,0
412,1,1,0,33.0,90.0,1,2,0,2
413,0,2,1,30.0,0.0,2,2,1,0
414,1,3,1,44.0,7.925,2,2,1,0
415,0,3,0,30.0,8.05,2,2,0,0
416,1,2,0,34.0,32.5,2,2,0,2
417,1,2,0,18.0,13.0,2,2,0,2
418,0,2,1,30.0,13.0,2,2,1,0
419,0,3,0,10.0,24.15,2,2,0,2
420,0,3,1,30.0,7.8958,0,2,1,0
421,0,3,1,21.0,7.7333,1,2,1,0
422,0,3,1,29.0,7.875,2,2,1,0
423,0,3,0,28.0,14.4,2,2,0,2
424,0,3,1,18.0,20.2125,2,2,1,2
425,0,3,1,30.0,7.25,2,2,1,0
426,1,2,0,28.0,26.0,2,2,0,2
427,1,2,0,19.0,26.0,2,2,0,0
428,0,3,1,30.0,7.75,1,2,1,0
429,1,3,1,32.0,8.05,2,4,1,0
430,1,1,1,28.0,26.55,2,2,1,0
431,1,3,0,30.0,16.1,2,2,0,2
432,1,2,0,42.0,26.0,2,2,0,2
433,0,3,1,17.0,7.125,2,2,1,0
434,0,1,1,50.0,55.9,2,4,1,2
435,1,1,0,14.0,120.0,2,1,0,2
436,0,3,0,21.0,34.375,2,2,0,1
437,1,2,0,24.0,18.75,2,2,0,1
438,0,1,1,64.0,263.0,2,2,1,1
439,0,2,1,31.0,10.5,2,2,1,0
440,1,2,0,45.0,26.25,2,2,0,2
441,0,3,1,20.0,9.5,2,2,1,0
442,0,3,1,25.0,7.775,2,2,1,2
443,1,2,0,28.0,13.0,2,2,0,0
444,1,3,1,30.0,8.1125,2,2,1,0
445,1,1,1,4.0,81.8583,2,0,0,2
